date,India,United States,Italy,China
2/1/2020,1,7,3,11809
2/2/2020,2,8,3,14399
2/3/2020,2,11,3,17211
2/4/2020,3,11,3,20448
2/5/2020,3,11,3,24320
2/6/2020,3,12,3,28047
2/7/2020,3,12,3,31207
2/8/2020,3,12,3,34625
2/9/2020,3,12,3,37232
2/10/2020,3,12,3,40206
2/11/2020,3,13,3,42696
2/12/2020,3,13,3,44724
2/13/2020,3,14,3,59865
2/14/2020,3,15,3,64021
2/15/2020,3,15,3,66559
2/16/2020,3,15,3,68566
2/17/2020,3,15,3,70618
2/18/2020,3,15,3,72508
2/19/2020,3,15,3,74258
2/20/2020,3,15,3,74652
2/21/2020,3,16,3,75543
2/22/2020,3,35,17,76369
2/23/2020,3,35,79,77016
2/24/2020,3,35,132,77234
2/25/2020,3,53,229,77749
2/26/2020,3,53,322,78159
2/27/2020,3,59,400,78598
2/28/2020,3,60,650,78927
2/29/2020,3,66,888,79355
3/1/2020,3,69,1128,79929
3/2/2020,3,89,1689,80134
3/3/2020,5,103,2036,80261
3/4/2020,6,125,2502,80380
3/5/2020,28,159,3089,80497
3/6/2020,29,233,3858,80667
3/7/2020,31,338,4636,80768
3/8/2020,34,433,5883,80814
3/9/2020,,554,7375,80859
3/10/2020,44,754,9172,80879
3/11/2020,50,1025,10149,80908
3/12/2020,73,1312,12462,80932
3/13/2020,75,1663,15113,80954
3/14/2020,83,2174,17660,80973
3/15/2020,90,2951,21157,80995
3/16/2020,93,3774,23980,81020
3/17/2020,125,4661,27980,81063
3/18/2020,137,6427,31506,81086
3/19/2020,165,9415,35713,81130
3/20/2020,191,14250,41035,81229
3/21/2020,231,19624,47021,81281
3/22/2020,320,26747,53578,81346
3/23/2020,439,35206,59138,81484
3/24/2020,492,46442,63927,81553
3/25/2020,562,55231,69176,81631
3/26/2020,649,69194,74386,81733
3/27/2020,724,85991,80539,81827
3/28/2020,873,104686,86498,81946
3/29/2020,979,124665,92472,82059
3/30/2020,1071,143025,97689,82157
3/31/2020,1251,164620,101739,82241
4/1/2020,1397,189618,105792,82295
4/2/2020,1965,216721,110574,82395
4/3/2020,2301,245540,115242,82465
4/4/2020,2902,277965,119827,82527
4/5/2020,3374,312237,124632,82575
4/6/2020,4067,337635,128948,82642
4/7/2020,4421,368196,132547,82698
4/8/2020,5194,398809,135586,82784
4/9/2020,5734,432132,139422,82870
4/10/2020,6412,466033,143626,82925
4/11/2020,7447,501560,147577,83004
4/12/2020,8356,529951,152271,83097
4/13/2020,9152,557571,156363,83209
4/14/2020,10363,582594,159516,83303
4/15/2020,11438,609516,162488,83352
4/16/2020,12380,639664,165155,83402
4/17/2020,13387,671331,168941,83754
4/18/2020,14378,702164,172434,83785
4/19/2020,15712,735086,175925,83803
4/20/2020,17265,759687,178972,83817
4/21/2020,18600,787752,181228,83849
4/22/2020,19984,825041,183957,83864
4/23/2020,21393,842629,187327,83876
4/24/2020,23077,869172,189973,83884
4/25/2020,24506,890524,192994,83899
4/26/2020,26496,939053,195351,83909
4/27/2020,27892,965910,197675,83912
4/28/2020,29435,988451,199414,83938
4/29/2020,31332,1012583,201505,83940
4/30/2020,33050,1039909,203591,83944
5/1/2020,35043,1069826,205463,83956
5/2/2020,37336,1103781,207428,83959
5/3/2020,39980,1133069,209328,83961
5/4/2020,42533,1158041,210717,83964
5/5/2020,46433,1180634,211938,83966
5/6/2020,49391,1204475,213013,83968
5/7/2020,52952,1228603,214457,83970
5/8/2020,56342,1256972,215858,83976
5/9/2020,59662,1283929,217185,83976
5/10/2020,62939,1309541,218268,83991
5/11/2020,67152,1329799,219070,84010
5/12/2020,70756,1347916,219814,84011
5/13/2020,74281,1369964,221216,84018
5/14/2020,78003,1390746,222104,84024
5/15/2020,81970,1417889,223096,84029
5/16/2020,85940,1443397,223885,84038
5/17/2020,90927,1467884,224760,84044
5/18/2020,96169,1486757,225435,84054
5/19/2020,101139,1508598,225886,84063
5/20/2020,106750,1528568,226699,84065
5/21/2020,112359,1551853,227364,84067
5/22/2020,118447,1577287,228006,84079
5/23/2020,125101,1601434,228658,84081
5/24/2020,131868,1622670,229327,84084
5/25/2020,138845,1643238,229858,84095
5/26/2020,145380,1662302,230158,84102
5/27/2020,151767,1681212,230555,84103
5/28/2020,158333,1699933,231139,84106
5/29/2020,165799,1721750,231732,84106
5/30/2020,173763,1747087,232248,84123
5/31/2020,182143,1770384,232664,84128
6/1/2020,190535,1790191,233019,84147
6/2/2020,198706,1811277,233197,84154
6/3/2020,207615,1831821,233515,84159
6/4/2020,216919,1851520,233836,84160
6/5/2020,226770,1872660,234013,84171
6/6/2020,236657,1897838,234531,84177
6/7/2020,246628,1920061,234801,84186
6/8/2020,256611,1942363,234998,84191
6/9/2020,266598,1961185,235278,84194
6/10/2020,276583,1979850,235561,84198
6/11/2020,286579,2000464,235763,84209
6/12/2020,297535,2023347,236142,84216
6/13/2020,308993,2048986,236305,84228
6/14/2020,320922,2074526,236651,84288
6/15/2020,332424,2094069,236989,84335
6/16/2020,343091,2114026,237290,84378
6/17/2020,354065,2137731,237500,84422
6/18/2020,366946,2163290,237828,84458
6/19/2020,380532,2191052,238159,84494
6/20/2020,395048,2220961,238011,84524
6/21/2020,410461,2255119,238275,84553
6/22/2020,425282,2280912,238499,84572
6/23/2020,440215,2312302,238720,84624
6/24/2020,456183,2347022,238833,84653
6/25/2020,473105,2381361,239410,84673
6/26/2020,490401,2422310,239706,84701
6/27/2020,508953,2467837,239961,84725
6/28/2020,528859,2510323,240136,84743
6/29/2020,548318,2548996,240310,84757
6/30/2020,566840,2590552,240436,84780
7/1/2020,585493,2634432,240578,84785
7/2/2020,604641,2686480,240760,84816
7/3/2020,625544,2739879,240961,84830
7/4/2020,648315,2794321,241184,84839
7/5/2020,673165,2839542,241419,84857
7/6/2020,697413,2888635,241611,84871
7/7/2020,719665,2938625,241819,84896
7/8/2020,742417,2996098,241956,84917
7/9/2020,767296,3055004,242149,84950
7/10/2020,793802,3118008,242363,84996
7/11/2020,820916,3184633,242639,85036
7/12/2020,849553,3247684,242827,85071
7/13/2020,878254,3304942,243061,85117
7/14/2020,906752,3363056,243230,85172
7/15/2020,936181,3431574,243344,85226
7/16/2020,968876,3499291,243506,85246
7/17/2020,1003832,3576221,243736,85323
7/18/2020,1038716,3647715,243967,85403
7/19/2020,1077618,3711464,244216,85483
7/20/2020,1118043,3773260,244434,85613
7/21/2020,1155191,3830010,244624,85697
7/22/2020,1192915,3902058,244752,85771
7/23/2020,1238635,3970906,245032,85906
7/24/2020,1287945,4034102,245338,86045
7/25/2020,1336861,4112529,245590,86202
7/26/2020,1385522,4178027,245864,86381
7/27/2020,1435453,4234020,246118,86570
7/28/2020,1483156,4290263,246286,86783
7/29/2020,1531669,4351997,246488,86990
7/30/2020,1583792,4426982,246776,87213
7/31/2020,1638870,4495014,247158,87489
8/1/2020,1695988,4562037,247537,87655
8/2/2020,1750723,4620444,247832,87827
8/3/2020,1803695,4667955,248070,87985
8/4/2020,1855745,4713562,248229,88099
8/5/2020,1908254,4771087,248419,88206
8/6/2020,1964536,4823891,248803,88328
8/7/2020,2027074,4883646,249204,88460
8/8/2020,2088611,4941796,249756,88580
8/9/2020,2153010,4998017,250103,88672
8/10/2020,2215074,5044864,250566,88793
8/11/2020,2268675,5094394,250825,88906
8/12/2020,2329638,5141207,251237,88964
8/13/2020,2396637,5197148,251713,89045
8/14/2020,2461190,5248242,252235,89144
8/15/2020,2526192,5313080,252809,89214
8/16/2020,2589682,5361165,253438,89279
8/17/2020,2647663,5403269,253915,89375
8/18/2020,2702742,5438325,254235,89441
8/19/2020,2767273,5482416,254636,89494
8/20/2020,2836925,5529842,255278,89527
8/21/2020,2905823,5573847,256118,89567
8/22/2020,2975701,5623727,257065,89616
8/23/2020,3044940,5668105,258136,89654
8/24/2020,3106348,5702611,259345,89695
8/25/2020,3167323,5740909,260298,89718
8/26/2020,3234474,5779028,261174,89752
8/27/2020,3310234,5821876,262540,89784
8/28/2020,3387500,5867785,263949,89814
8/29/2020,3463972,5917439,265409,89836
8/30/2020,3542733,5961582,266853,89863
8/31/2020,3621245,5997163,268218,89895
9/1/2020,3691166,6031013,269214,89914
9/2/2020,3769523,6075652,270189,89934
9/3/2020,3853406,6114406,271515,89953
9/4/2020,3936747,6150655,272912,89986
9/5/2020,4023179,6201726,274644,90008
9/6/2020,4113811,6245866,276338,90025
9/7/2020,4204613,6276421,277634,90058
9/8/2020,4280422,6300671,278784,90079
