Country_Region,Province_State,Confirmed,Deaths,Recovered,Active
India,Andaman and Nicobar Islands,4617,61,4408,148
India,Andhra Pradesh,859932,6920,837630,15382
India,Arunachal Pradesh,16001,49,14870,1082
India,Assam,211204,971,207029,3204
India,Bihar,228886,1212,222420,5254
India,Chandigarh,16472,255,15096,1121
India,Chhattisgarh,219404,2691,196896,19817
India,Dadra and Nagar Haveli and Daman and Diu,3316,2,3275,39
India,Delhi,517238,8159,468143,40936
India,Goa,46632,672,44665,1295
India,Gujarat,194402,3837,177515,13050
India,Haryana,212355,2138,190067,20150
India,Himachal Pradesh,32785,500,25455,6830
India,Jammu and Kashmir,105376,1622,98076,5678
India,Jharkhand,107157,939,103624,2594
India,Karnataka,869561,11621,833169,24771
India,Kerala,551669,1997,481718,67954
India,Ladakh,7787,96,6743,948
India,Lakshadweep,0,0,0,0
India,Madhya Pradesh,189546,3138,176006,10402
India,Maharashtra,1768695,46511,1642916,79268
India,Manipur,22748,232,19620,2896
India,Meghalaya,11152,106,10158,888
India,Mizoram,3607,5,3111,491
India,Nagaland,10608,56,9208,1344
India,Odisha,312545,1608,303897,7040
India,Puducherry,36585,609,35355,621
India,Punjab,144995,4572,133919,6504
India,Rajasthan,237669,2130,214616,20923
India,Sikkim,4632,96,4271,265
India,Tamil Nadu,766677,11568,741705,13404
India,Telangana,262653,1426,249157,12070
India,Tripura,32367,366,31084,917
India,Uttar Pradesh,521988,7500,491131,23357
India,Uttarakhand,70205,1138,65562,3505
India,West Bengal,449131,7923,415609,25599
