date,India,United States,Italy,China
2/1/2020,0,0,0,46
2/2/2020,0,0,0,45
2/3/2020,0,0,0,57
2/4/2020,0,0,0,65
2/5/2020,0,0,0,66
2/6/2020,0,0,0,72
2/7/2020,0,0,0,73
2/8/2020,0,0,0,86
2/9/2020,0,0,0,89
2/10/2020,0,0,0,97
2/11/2020,0,0,0,108
2/12/2020,0,0,0,97
2/13/2020,0,0,0,254
2/14/2020,0,0,0,13
2/15/2020,0,0,0,143
2/16/2020,0,0,0,142
2/17/2020,0,0,0,105
2/18/2020,0,0,0,98
2/19/2020,0,0,0,139
2/20/2020,0,0,0,112
2/21/2020,0,0,0,118
2/22/2020,0,0,0,109
2/23/2020,0,0,2,98
2/24/2020,0,0,0,150
2/25/2020,0,0,4,70
2/26/2020,0,0,5,52
2/27/2020,0,0,1,29
2/28/2020,0,0,5,44
2/29/2020,0,0,4,47
3/1/2020,0,1,8,35
3/2/2020,0,1,6,42
3/3/2020,0,4,17,32
3/4/2020,0,3,28,37
3/5/2020,0,2,27,31
3/6/2020,0,1,41,30
3/7/2020,0,2,49,28
3/8/2020,0,3,36,27
3/9/2020,,4,133,23
3/10/2020,0,5,98,17
3/11/2020,0,2,167,22
3/12/2020,0,2,196,11
3/13/2020,1,10,189,7
3/14/2020,1,7,252,15
3/15/2020,0,10,173,9
3/16/2020,0,12,370,13
3/17/2020,1,16,347,9
3/18/2020,0,23,347,16
3/19/2020,0,42,473,8
3/20/2020,1,0,429,4
3/21/2020,0,110,625,6
3/22/2020,0,80,795,6
3/23/2020,3,131,649,9
3/24/2020,2,119,601,7
3/25/2020,0,211,743,4
3/26/2020,4,249,685,6
3/27/2020,4,246,660,5
3/28/2020,2,411,971,3
3/29/2020,6,484,887,5
3/30/2020,4,318,758,2
3/31/2020,3,661,810,3
4/1/2020,3,909,839,1
4/2/2020,15,1059,727,6
4/3/2020,6,915,760,10
4/4/2020,12,1104,764,4
4/5/2020,9,1344,681,3
4/6/2020,32,1146,527,2
4/7/2020,5,1342,636,0
4/8/2020,35,1906,604,2
4/9/2020,17,1922,540,2
4/10/2020,33,1873,612,1
4/11/2020,40,2087,570,3
4/12/2020,34,1831,619,0
4/13/2020,35,1500,431,2
4/14/2020,31,1541,564,0
4/15/2020,38,2408,604,1
4/16/2020,37,4928,578,0
4/17/2020,23,2299,525,1290
4/18/2020,43,3770,575,0
4/19/2020,27,1856,480,0
4/20/2020,36,1772,433,0
4/21/2020,47,1857,454,0
4/22/2020,50,2524,534,0
4/23/2020,41,1721,437,0
4/24/2020,37,3179,464,0
4/25/2020,57,1054,420,0
4/26/2020,49,2172,415,0
4/27/2020,48,1687,260,1
4/28/2020,62,1369,333,0
4/29/2020,73,2110,382,0
4/30/2020,67,2611,323,0
5/1/2020,73,2040,285,0
5/2/2020,71,2062,269,0
5/3/2020,83,1317,474,0
5/4/2020,72,1297,174,0
5/5/2020,195,1252,195,0
5/6/2020,126,2144,236,0
5/7/2020,89,2353,369,0
5/8/2020,103,2239,274,0
5/9/2020,95,1510,243,0
5/10/2020,128,1614,194,0
5/11/2020,97,734,165,0
5/12/2020,87,1156,179,0
5/13/2020,122,1703,172,0
5/14/2020,134,1746,195,0
5/15/2020,100,1773,262,0
5/16/2020,103,1662,242,0
5/17/2020,120,1186,153,1
5/18/2020,157,808,145,0
5/19/2020,134,791,99,0
5/20/2020,140,1568,162,0
5/21/2020,132,1518,161,0
5/22/2020,148,1263,156,0
5/23/2020,137,1305,130,0
5/24/2020,147,1080,119,0
5/25/2020,154,633,50,0
5/26/2020,146,500,92,0
5/27/2020,170,696,78,0
5/28/2020,194,1526,117,0
5/29/2020,175,1175,70,0
5/30/2020,265,1219,87,0
5/31/2020,193,945,111,0
6/1/2020,230,602,75,0
